model_version,position_group,role,duty,attribute,base_weight,duty_modifier,effective_weight,weight_tier,core_soft_floor_applies,soft_floor_if_attr_lt_6,soft_floor_if_attr_lt_8,soft_floor_if_attr_lt_10,normal_multiplier_if_attr_ge_10,notes,source_url
role_weights_v2.0,AMC,Enganche,Support,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Decisions,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,First Touch,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Flair,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Passing,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Teamwork,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Technique,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Enganche,Support,Vision,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Acceleration,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Aggression,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Anticipation,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Decisions,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Dribbling,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Finishing,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,First Touch,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Off The Ball,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Pace,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Passing,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC,Shadow Striker,Attack,Work Rate,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Agility,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Anticipation,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Decisions,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Dribbling,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Finishing,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,First Touch,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Flair,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Off The Ball,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Passing,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Technique,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AMC/ST,Trequartista,Attack,Vision,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Acceleration,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Anticipation,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Composure,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Decisions,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Dribbling,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Finishing,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,First Touch,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Flair,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Off The Ball,5,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Pace,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Passing,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Attack,Technique,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Acceleration,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Anticipation,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Decisions,3,1,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Dribbling,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Finishing,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,First Touch,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Flair,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Off The Ball,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Pace,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Passing,2,1,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Technique,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Inside Forward,Support,Vision,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Acceleration,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Anticipation,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Decisions,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Finishing,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,First Touch,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Off The Ball,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Pace,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Stamina,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,AML/AMR,Raumdeuter,Attack,Technique,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Acceleration,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Anticipation,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Concentration,3,1,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Decisions,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,First Touch,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Heading,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Jumping Reach,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Marking,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Pace,2,1,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Passing,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Positioning,5,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Strength,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Tackling,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Technique,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Cover,Vision,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Anticipation,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Concentration,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Decisions,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,First Touch,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Heading,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Jumping Reach,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Marking,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Pace,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Passing,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Positioning,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Strength,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Tackling,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Technique,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Defend,Vision,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Aggression,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Anticipation,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Bravery,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Composure,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Concentration,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Decisions,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,First Touch,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Heading,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Jumping Reach,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Marking,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Pace,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Passing,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Positioning,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Strength,2,1,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Tackling,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Technique,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Ball-Playing Defender,Stopper,Vision,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Acceleration,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Anticipation,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Bravery,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Composure,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Concentration,4,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Decisions,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Heading,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Jumping Reach,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Marking,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Pace,2,1,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Positioning,5,1,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Strength,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Cover,Tackling,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Anticipation,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Bravery,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Composure,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Concentration,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Decisions,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Heading,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Jumping Reach,4,0,4,primary,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Marking,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Pace,2,0,2,useful,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Positioning,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Strength,3,0,3,important,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Defend,Tackling,5,0,5,role-defining/core,yes,0.75,0.85,0.93,1.0,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
role_weights_v2.0,DC,Central Defender,Stopper,Aggression,0,1,1,marginal,no,,,,,,https://www.fmscout.com/a-guide-to-player-roles-in-football-manager.html
